,accuracy,recall,precision
balsam fir,0.0,0.9120126448893572,0.810014038371549
loblolly pine,0.0,0.8707505890272635,0.780549130041235
northern white-cedar,0.0,0.8866709594333548,0.9029508196721312
paper birch,0.0,0.6666666666666666,0.6697187704381949
quaking aspen,0.0,0.9053850025163563,0.850389978728433
red maple,0.0,0.7486057486057486,0.7503359312012899
slash pine,0.0,0.7575628461866212,0.7540288379983037
sugar maple,0.0,0.927722579388272,0.9694625407166124
sweetgum,0.0,0.6482451037424859,0.6908452159537094
yellow-poplar,0.0,0.8269516728624535,0.8567302137492778
Total,0.7995121611262109,0.815057381331858,0.8035025476870737
