Date,Number of Fires,Acres Burned,Acres Burned per Fire
200001,"2,796","40,757","14.6"
200002,"5,671","168,210","29.7"
200003,"10,312","340,899","33.1"
200004,"9,236","182,713","19.8"
200005,"11,850","294,493","24.9"
200006,"9,135","606,869","66.4"
200007,"11,293","1,854,991","164.3"
200008,"11,217","2,513,602","224.1"
200009,"8,648","850,027","98.3"
200010,"7,651","195,645","25.6"
200011,"3,285","261,681","79.7"
200012,"1,156","83,606","72.3"
200101,"1,231","44,334","36.0"
200102,"6,561","118,872","18.1"
200103,"6,620","103,341","15.6"
200104,"995","202,015","203.0"
200105,"18,469","258,014","14.0"
200106,"6,961","367,544","52.8"
200107,"8,254","387,894","47.0"
200108,"7,579","1,358,486","179.2"
200109,"6,397","380,891","59.5"
200110,"6,223","33,868","5.4"
200111,"10,223","99,879","9.8"
200112,"4,566","215,773","47.3"
200201,"1,383","10,079","7.3"
200202,"4,649","55,487","11.9"
200203,"8,686","135,186","15.6"
200204,"7,365","177,888","24.2"
200205,"8,734","736,493","84.3"
200206,"13,942","1,702,508","122.1"
200207,"7,348","1,098,578","149.5"
200208,"9,983","2,385,947","239.0"
200209,"5,175","276,819","53.5"
200210,"2,009","128,571","64.0"
200211,"2,068","410,256","198.4"
200212,"2,115","66,900","31.6"
200301,"1,964","18,818","9.6"
200302,"2,030","30,877","15.2"
200303,"3,401","44,285","13.0"
200304,"7,066","225,841","32.0"
200305,"7,081","86,116","12.2"
200306,"5,744","361,081","62.9"
200307,"7,129","970,327","136.1"
200308,"10,145","919,302","90.6"
200309,"4,620","510,642","110.5"
200310,"6,353","170,015","26.8"
200311,"2,104","478,648","227.5"
200312,"5,992","144,890","24.2"
200401,"1,740","15,386","8.8"
200402,"2,847","39,787","14.0"
200403,"9,071","95,457","10.5"
200404,"10,735","219,470","20.4"
200405,"7,675","161,170","21.0"
200406,"6,554","1,142,287","174.3"
200407,"6,628","3,439,347","518.9"
200408,"9,575","2,022,996","211.3"
200409,"6,109","601,572","98.5"
200410,"1,918","304,809","158.9"
200411,"1,368","21,660","15.8"
200412,"1,241","33,939","27.3"
200501,"1,674","9,735","5.8"
200502,"2,518","18,414","7.3"
200503,"5,061","102,648","20.3"
200504,"9,010","136,097","15.1"
200505,"6,795","107,511","15.8"
200506,"4,684","1,331,249","284.2"
200507,"7,464","2,612,903","350.1"
200508,"8,276","3,078,418","372.0"
200509,"7,693","763,713","99.3"
200510,"3,414","95,393","27.9"
200511,"4,089","177,519","43.4"
200512,"6,075","255,789","42.1"
200601,"3,507","330,447","94.2"
200602,"2,429","80,564","33.2"
200603,"15,006","1,438,355","95.9"
200604,"13,747","391,421","28.5"
200605,"7,156","315,375","44.1"
200606,"15,403","1,196,351","77.7"
200607,"12,408","1,412,483","113.8"
200608,"9,292","2,434,567","262.0"
200609,"4,804","1,474,795","307.0"
200610,"2,639","326,551","123.7"
200611,"3,401","107,342","31.6"
200612,"6,593","365,494","55.4"
200701,"387","4,597","11.9"
200702,"3,791","30,754","8.1"
200703,"12,086","226,060","18.7"
200704,"7,808","214,020","27.4"
200705,"12,642","859,241","68.0"
200706,"9,654","502,835","52.1"
200707,"10,268","2,785,585","271.3"
200708,"7,741","2,285,357","295.2"
200709,"8,567","1,317,554","153.8"
200710,"3,787","469,496","124.0"
200711,"2,398","205,386","85.6"
200712,"6,576","427,160","65.0"
200801,"1,380","40,804","29.6"
200802,"4,449","214,183","48.1"
200803,"5,259","261,256","49.7"
200804,"8,242","758,290","92.0"
200805,"7,790","226,503","29.1"
200806,"9,536","672,117","70.5"
200807,"17,352","1,303,710","75.1"
200808,"10,213","1,185,528","116.1"
200809,"3,728","71,959","19.3"
200810,"5,403","299,720","55.5"
200811,"2,437","97,019","39.8"
200812,"3,190","161,379","50.6"
200901,"2,481","57,150","23.0"
200902,"5,495","120,447","21.9"
200903,"13,755","363,647","26.4"
200904,"9,206","518,535","56.3"
200905,"10,848","350,997","32.4"
200906,"6,614","493,268","74.6"
200907,"6,257","1,353,884","216.4"
200908,"10,026","1,980,255","197.5"
200909,"5,535","378,523","68.4"
200910,"2,989","91,444","30.6"
200911,"3,838","127,651","33.3"
200912,"1,748","85,985","49.2"
201001,"1,081","19,052","17.6"
201002,"1,221","15,491","12.7"
201003,"6,233","106,074","17.0"
201004,"11,686","182,831","15.6"
201005,"5,563","350,774","63.1"
201006,"4,027","812,459","201.8"
201007,"7,015","491,856","70.1"
201008,"6,718","627,443","93.4"
201009,"13,598","366,260","26.9"
201010,"4,594","210,259","45.8"
201011,"4,277","122,728","28.7"
201012,"5,958","117,497","19.7"
201101,"1,526","17,352","11.4"
201102,"8,226","187,021","22.7"
201103,"7,316","385,043","52.6"
201104,"6,164","1,791,469","290.6"
201105,"6,625","1,069,997","161.5"
201106,"6,567","1,345,060","204.8"
201107,"9,208","1,295,630","140.7"
201108,"8,238","864,470","104.9"
201109,"6,552","765,417","116.8"
201110,"3,399","507,724","149.4"
201111,"2,808","270,518","96.3"
201112,"7,497","211,666","28.2"
201201,"1,758","62,909","35.8"
201202,"3,239","29,737","9.2"
201203,"5,354","89,771","16.8"
201204,"7,506","191,062","25.5"
201205,"4,435","337,182","76.0"
201206,"5,415","1,363,293","251.8"
201207,"9,869","2,014,395","204.1"
201208,"6,948","3,636,606","523.4"
201209,"3,734","1,077,766","288.6"
201210,"3,553","200,860","56.5"
201211,"3,694","152,697","41.3"
201212,"11,760","65,361","5.6"
201301,"964","8,573","8.9"
201302,"1,340","12,432","9.3"
201303,"4,615","72,120","15.6"
201304,"4,754","48,419","10.2"
201305,"6,331","106,243","16.8"
201306,"4,046","1,252,719","309.6"
201307,"6,149","866,765","141.0"
201308,"7,088","1,481,109","209.0"
201309,"3,572","215,263","60.3"
201310,"3,323","19,514","5.9"
201311,"2,376","86,092","36.2"
201312,"2,057","137,927","67.1"
201401,"2,584","38,078","14.7"
201402,"2,983","31,686","10.6"
201403,"6,024","97,922","16.3"
201404,"7,783","152,713","19.6"
201405,"2,458","400,822","163.1"
201406,"4,463","172,860","38.7"
201407,"8,072","819,242","101.5"
201408,"4,280","1,039,766","242.9"
201409,"2,558","306,663","119.9"
201410,"1,946","202,883","104.3"
201411,"8,108","191,688","23.6"
201412,"12,086","133,238","11.0"
201501,"1,500","22,592","15.1"
201502,"4,251","68,989","16.2"
201503,"3,118","59,677","19.1"
201504,"6,707","167,691","25.0"
201505,"6,072","78,187","12.9"
201506,"6,430","1,868,614","290.6"
201507,"8,186","3,461,087","422.8"
201508,"7,555","2,475,720","327.7"
201509,"6,153","881,230","143.2"
201510,"3,826","323,784","84.6"
201511,"2,097","404,910","193.1"
201512,"6,027","312,668","51.9"
201601,"439","3,131","7.1"
201602,"2,455","123,490","50.3"
201603,"6,324","649,511","102.7"
201604,"6,267","687,131","109.6"
201605,"4,942","134,720","27.3"
201606,"5,230","526,926","100.8"
201607,"8,195","1,353,260","165.1"
201608,"6,507","1,116,726","171.6"
201609,"4,762","285,893","60.0"
201610,"6,555","126,963","19.4"
201611,"8,560","275,616","32.2"
201612,"5,339","163,153","30.6"
201701,"2,459","54,961","22.4"
201702,"5,353","167,766","31.3"
201703,"6,717","957,427","142.5"
201704,"5,953","817,985","137.4"
201705,"4,182","234,986","56.2"
201706,"5,336","600,373","112.5"
201707,"9,000","2,657,380","295.3"
201708,"7,493","1,648,583","220.0"
201709,"3,033","1,325,423","437.0"
201710,"3,408","366,641","107.6"
201711,"3,252","354,376","109.0"
201712,"9,945","595,161","59.8"
201801,"3,257","71,189","21.9"
201802,"3,200","67,289","21.0"
201803,"6,297","392,010","62.3"
201804,"4,938","446,198","90.4"
201805,"6,197","707,411","114.2"
201806,"5,112","812,501","158.9"
201807,"8,717","2,313,597","265.4"
201808,"7,861","2,129,088","270.8"
201809,"3,720","841,953","226.3"
201810,"1,791","466,374","260.4"
201811,"1,421","236,457","166.4"
201812,"3,400","98,542","29.0"
201901,"1,139","13,095","11.5"
201902,"1,018","27,604","27.1"
201903,"4,934","130,508","26.5"
201904,"3,534","40,716","11.5"
201905,"5,338","120,868","22.6"
201906,"5,657","1,331,968","235.5"
201907,"5,571","1,570,697","281.9"
201908,"8,765","1,001,587","114.3"
201909,"6,627","195,898","29.6"
201910,"2,314","134,013","57.9"
201911,"2,320","49,700","21.4"
201912,"2,569","13,353","5.2"
202001,"1,486","28,092","18.9"
202002,"1,025","15,127","14.8"
202003,"4,461","137,081","30.7"
